index	#1 Label	#2 String	#2 String
11	0	BẬT MÍ: Các báo cáo chưa được xác nhận cho rằng tiền vệ Michael Essien của AC Milan đã nhiễm virus Ebola. #GetWellSoon http://t.co/9h2spi4T0J|||||“@TheBenchWarming: BẬT MÍ: Tiền vệ Michael Essien của AC Milan đã nhiễm virus Ebola http://t.co/uHJtVetYJ2” 😭😭|||||@TheBenchWarming @Planet_Arsenal cái quái gì vậy|||||@TheBenchWarming @ShayarSolanki soz|||||@TheBenchWarming @RIPvuhsace Bruh|||||@TheBenchWarming @tp_ricky @ JayNanners13|||||@TheBenchWarming @RIPvuhsace nếu nigga đó có ebola, bạn biết đấy, chết tiệt nó sẽ không khỏe lại sớm|||||@TheBenchWarming @itsaniss @TheMutherfxcker HAHAHAHAHAHAHA AZE IK KAN NIMEER|||||@Sloddeuh @TheBenchWarming @TheMutherfxcker 😂😂😂😂😂|||||@itsaniss @TheBenchWarming @TheMutherfxcker ik ga dooodd raaaap mij nu op 😂😂😂😂😂😂😂|||||@Sloddeuh domme Congolees er staat "Chưa được xác nhận" 😂😂😂|||||@TheMutherfxcker ja maar das waar hij komt juist uit interland tege congo nu rustig ebola 😂😂😂|||||@Sloddeuh ghana heeft amper tegen julie gespeeld|||||@TheMutherfxcker Aahja hij is ghanees kwas vergeten kdacht van ivoorkust en HAHAHAHAHA LÀ KHÔNG CÓ LỖI HAHAHHAHAHAHAHHAHAHAAHHAAHAHAHAHHAHAHA|||||@Sloddeuh Ebola is nog NIET in Ghana jonge|||||@TheBenchWarming buồn quá|||||@TheBenchWarming @SoccerMemes có lẽ là bs|||||@TheBenchWarming @RIPvuhsace bullshiiit|||||@TheBenchWarming Hahhahaha lũ khốn nạn thật
12	0	AC Milan đã xác nhận rằng những thông tin về việc Michael Essien mắc Ebola là hoàn toàn sai sự thật.|||||“@Footballltrolls: AC Milan đã xác nhận rằng các báo cáo về việc Michael Essien mắc Ebola là hoàn toàn sai sự thật.” Lmao smh.|||||@Footballltrolls thật là một tin đồn đẫm máu phân biệt chủng tộc ...|||||@Footballltrolls Giả mạo. Đừng lan truyền tin đồn kinh khủng. http://t.co/cxmeBiexFi|||||“@Footballltrolls: AC Milan đã xác nhận rằng các báo cáo về việc Michael Essien mắc Ebola là hoàn toàn sai sự thật.” 😂😂|||||“@Footballltrolls: AC Milan đã xác nhận rằng các báo cáo về việc Michael Essien mắc Ebola là hoàn toàn sai sự thật.” 😂 nhưng cái quái gì vậy|||||“@Footballltrolls: AC Milan đã xác nhận rằng các báo cáo về việc Michael Essien mắc Ebola là hoàn toàn sai sự thật.” @ tonyski12|||||@Footballltrolls o cậu bé tốt hơn bệnh coz là chết|||||“@Footballltrolls: AC Milan đã xác nhận rằng các báo cáo về việc Michael Essien mắc Ebola là hoàn toàn sai sự thật.” @ kfas210 xem|||||@ ThomasYarwood95 trích dẫn tôi từ một tài khoản có tên Football Trolls|||||“@Footballltrolls: AC Milan đã xác nhận rằng các báo cáo về việc Michael Essien mắc Ebola là hoàn toàn sai sự thật.” 😂😂😂|||||“@Footballltrolls: AC Milan đã xác nhận rằng các báo cáo về việc Michael Essien mắc Ebola là hoàn toàn sai sự thật.” 😂😂😂😭😭|||||thực hiện điều tra crotisizing b4. @ footballltrolls @umarkhalifa|||||“@Footballltrolls: AC Milan đã xác nhận rằng các báo cáo về việc Michael Essien mắc Ebola là hoàn toàn sai sự thật.” @ juangxx99
13	0	AC Milan đã bác bỏ những thông tin cho rằng tiền vệ Michael Essien đã mắc bệnh Ebola trong khi làm nhiệm vụ quốc gia với Ghana #SSFootball|||||@SuperSportBlitz hahahaha nhưng trước đó anh ấy đã ra mặt và phủ nhận các tuyên bố|||||@supersportblitz Tôi hy vọng đó chỉ là tin đồn.|||||@SuperSportBlitz Người Ý phân biệt chủng tộc, điều này rất giống họ! Smh họ không tôn trọng người châu Phi|||||@oxytocinite @supersportblitz true tht người Ý là những kẻ phân biệt chủng tộc lớn nhất|||||@Oxytocinite @SuperSportBlitz Phải, họ đang phân biệt chủng tộc bằng cách phủ nhận báo cáo sai?|||||@SuperSportBlitz hahahahahha ebola ebola|||||@SuperSportBlitz Essien không làm nhiệm vụ quốc gia|||||@SuperSportBlitz nếu bạn đọc bài báo của @TimesLIVE, bản thân Essien đã lên tiếng phủ nhận điều đó. Sự vô cảm của những tin đồn này thật đáng buồn. #SSFootball|||||@SuperSportBlitz WTF!|||||Hở? RT @SuperSportBlitz: AC Milan đã bác bỏ thông tin cho rằng tiền vệ Michael Essien đã mắc bệnh Ebola khi đang làm nhiệm vụ quốc gia với Ghana|||||@SuperSportBlitz Essien không thuộc đội nên anh ấy không có nghĩa vụ quốc gia. Đây là một sự xúc phạm đối với các nạn nhân Ebloa. Tốt nhất là phân biệt chủng tộc.|||||@SuperSportBlitz @BotswanaSoccer #SSFootball thật buồn và xấu hổ cho tinh thần bóng đá|||||@SuperSportBlitz Essien không mắc Ebola- Ebola mắc Essien. #quái thú|||||Hehehe RT “@ leiboff10: @SuperSportBlitz Essien không bị Ebola- Ebola bị Essien. #quái thú"|||||@SuperSportBlitz, bạn không thể đưa những tin đồn như thế này mà không được thông báo! Các bạn có hiểu vụ kiện mà các bạn đang tán tỉnh không?
14	0	Tiền vệ Michael Essien của AC Milan đã được chẩn đoán mắc bệnh Ebola. Sớm khỏe lại Michael. [Thời báo hàng ngày] http://t.co/r6y8d9HMAw|||||@FutbolLife @TransferChọn không, anh ấy không có|||||“@FutbolLife: Tiền vệ Michael Essien của AC Milan đã được chẩn đoán mắc bệnh Ebola. Sớm khỏe lại Michael. [Thời báo hàng ngày] http://t.co/htvSb4ZIZ7 ”|||||@FutbolLife không, anh ấy không có. Người đàn ông tự xác nhận không đúng sự thật @MichaelEssien|||||“@FutbolLife: Tiền vệ Michael Essien của AC Milan đã được chẩn đoán mắc bệnh Ebola. Sớm khỏe lại Michael. [Thời báo hàng ngày] http://t.co/5izSo4f134 ”|||||“@FutbolLife: Tiền vệ Michael Essien của AC Milan đã được chẩn đoán mắc bệnh Ebola. Sớm khỏe lại Michael. http://t.co/uxxr2UdAOg ”  Mẹ kiếp😳|||||Rất vui khi biết đây chỉ là tin đồn. Kinh tởm ai đã tạo ra điều này. Xin gửi lời xin lỗi tới @MichaelEssien và mọi hành vi xúc phạm đã gây ra.|||||@FutbolLife @blayrobert @ Carlosisking7|||||@Gonzoradlife @FutbolLife @ Carlosisking7 woah wtf 😩
15	1	Nhân chứng nói rằng ba hoặc bốn phát súng bắn vào Đài tưởng niệm Chiến tranh của # Ottawa, Người lính bị thương, đang được điều trị bởi một số nhân viên y tế.
16	1	#BREAKING Rick Hughes tại CBC Hamilton:  Người lính bị bắn ở Ottawa sáng thứ Tư là một lính dự bị phục vụ ở Hamilton
17	1	Cpl hai mươi bốn tuổi. Nathan Cirillo bị bắn chết hôm nay tại Đài tưởng niệm Chiến tranh ở #Ottawa. #cdnpoli #OttawaShooting http://t.co/j42xy9LX5k
18	2	Các nhân chứng cho biết có tới 50 phát súng bắn vào Đồi Quốc hội. Tiếng súng được báo cáo bên trong tòa nhà Quốc hội. #ottawa http://t.co/HGevLjele0
19	1	Tôi rất đau buồn trước cái chết của một người trẻ tuổi đang phục vụ chúng ta và quốc gia vĩ đại của chúng ta. Chúa phù hộ cho anh ấy #Ottawa #OttawaShooting
20	1	Tòa nhà quốc hội của Canada ở Ottawa đang bị khóa sau khi có báo cáo về một kẻ xả súng đang hoạt động http://t.co/oKneosRl04 http://t.co/JIW3PIeeMj
21	2	Một người bị bắn bên ngoài Khu trung tâm, người thứ hai bị thương bên trong tòa nhà ở Đồi Quốc hội do bắn http://t.co/zng0g0aelU
22	1	Người lính thiệt mạng trong vụ xả súng ở Canada là một kẻ dự bị trẻ tuổi với một cậu con trai sáu tuổi http://t.co/83PReIl9XV http://t.co/LVprXOCCF7
23	2	Tòa nhà quốc hội Canada bị khóa sau vụ nổ súng; ít nhất một bảo vệ bị thương: http://t.co/Nrsnlg2s04 Ảnh: AP http://t.co/qPXF4IF6aM
24	1	Vụ nổ súng tại quốc hội Canada diễn ra một ngày sau khi ISIS cực đoan tấn công binh lính Canada. Cũng báo cáo về vụ nổ súng tại Đài tưởng niệm chiến tranh / 1
25	1	CHỤP ẢNH OTTAWA: - Người lính bị bắn tại đài tưởng niệm chiến tranh - Đồi Quốc hội bị khóa - PM Harper an toàn, 'off the hill' http://t.co/LmbpYiNH9A
26	0	Cảnh sát cho biết các phát súng đã bắn tại 3 địa điểm #Ottawa - Đài tưởng niệm Chiến tranh Quốc gia, Đồi Quốc hội, và bây giờ là trung tâm mua sắm Rideau http://t.co/rOnqpUbuqc
27	0	Cảnh sát Canada cho biết không ai bị thương trong vụ xả súng tại Trung tâm Rideau của Ottawa - nơi xảy ra 1 trong 3 vụ tấn công. http://t.co/qsAnGNqBEw #ottawashooting
28	1	MỚI: Nguồn: Tay súng đã chết giết người lính ở Ottawa đã được xác định là Michael Zehaf-Bibeau quốc tịch Canada - @WorldNews
29	1	#BREAKING: Báo cáo về các phát súng được bắn trên Đồi Quốc hội
30	2	Tin nóng: Các cơ quan Hoa Kỳ đã được thông báo rằng game bắn súng #Ottawa được cho là chuyển đổi từ #Canadian thành #Islam, #FoxNews xác nhận.
31	1	Raptors giữ im lặng một lúc để tôn vinh Cpl. Nathan Cirillo và tất cả những người bị ảnh hưởng bởi các sự kiện hôm nay ở Ottawa. http://t.co/hqoIIvCRNj
32	1	CBS đưa tin nghi phạm xả súng Ottawa sinh ra ở Quebec tên là Michael Joseph Hall. Anh ấy mới chuyển sang đạo Hồi - http://t.co/58IK7FMcA1
33	1	NHL hoãn trận đấu Maple Leafs-Senators sau vụ xả súng bi thảm ở Ottawa. http://t.co/ANVfFm4Jca http://t.co/g60sdEUw6R
34	1	Trận đấu giữa Toronto Maple Leafs và Ottawa Senators dự kiến diễn ra vào tối nay tại Ottawa đã bị hoãn lại, NHL cho biết.
